id,message,label,category,is_fraud
1,Your SBI account statement is now available in the official YONO app. Open the app directly to view it.,0,SAFE,SAFE
2,HDFC Bank: Your monthly e-statement is available in NetBanking. Log in through the official app or website.,0,SAFE,SAFE
3,ICICI Bank: Your fixed deposit maturity amount will be credited to your linked account on the agreed maturity date.,0,SAFE,SAFE
4,"Axis Bank: Your debit card transaction of Rs 1,250 was completed successfully. No action is required.",0,SAFE,SAFE
5,Your bank has received your request to update communication preferences. No OTP is requested in this message.,0,SAFE,SAFE
6,Your KYC appointment is confirmed for tomorrow at 11:00 AM. Please carry the requested documents to the branch.,0,SAFE,SAFE
7,Amazon: Your order has been shipped. Track it by opening the Amazon app and viewing Your Orders.,0,SAFE,SAFE
8,Flipkart: Your package is out for delivery today. Check the delivery status from the official app.,0,SAFE,SAFE
9,Your OTP for signing in is 483921. Do not share this code with anyone.,0,SAFE,SAFE
10,"Your password was changed successfully. If you made this change, no further action is needed.",0,SAFE,SAFE
11,Your interview with ABC Technologies is scheduled for Monday at 10:00 AM. Use the meeting details shared by the recruiter.,0,SAFE,SAFE
12,Your internship application has been received. The company will contact you through its official hiring process.,0,SAFE,SAFE
13,Google: A new sign-in was detected on your account. Review the activity from your Google Account security page.,0,SAFE,SAFE
14,PayPal: Your payment of $24.99 was completed successfully. View the transaction in your PayPal account.,0,SAFE,SAFE
15,"Your electricity bill for this month is Rs 1,180. Pay it through your provider's official app or website.",0,SAFE,SAFE
16,Your UPI payment of Rs 650 to the grocery store was successful. Details are available in your banking app.,0,SAFE,SAFE
17,Your train ticket booking is confirmed. Open the official railway app to view your PNR and journey details.,0,SAFE,SAFE
18,The school portal has published your fee receipt. Log in to the official portal to download it.,0,SAFE,SAFE
19,Your parcel was delivered successfully. Delivery details are available in the official shopping app.,0,SAFE,SAFE
20,Microsoft: Your security information was updated. Review your account from the official Microsoft account page.,0,SAFE,SAFE
21,URGENT: Your bank account KYC has expired. Update PAN and Aadhaar immediately or your account will be blocked. Send details on WhatsApp.,1,BANK_KYC,FRAUD_SPAM
