text,label,category,source_note
"Dear Customer, your SBI account KYC has expired and will be blocked in 24 hours. Update immediately: bit.ly/sbi-kyc-updt",1,bank_kyc_scam,"documented pattern - scamcheck.tech, real case reporting"
"Your bank KYC update is pending. Complete it now on this link or your account and debit card will be suspended today.",1,bank_kyc_scam,"grounded in Mumbai case (Business Standard) - 73-yr-old woman lost Rs 2.2 lakh after clicking similar link"
"BOI ALERT: Your bank account will be blocked today due to incomplete verification. Click immediately to avoid suspension.",1,bank_kyc_scam,"documented pattern - trustcopilot.in"
"Your KYC verification failed. Install our official support app from this link and call our helpdesk to fix your account now.",1,bank_kyc_scam,"grounded in AnyDesk remote-access KYC scam pattern - scantotal.net"
"Your Paytm KYC has expired and your wallet is on hold. Complete verification now to avoid permanent account closure.",1,bank_kyc_scam,"documented pattern - common wallet KYC scam format"
"Hello, I am sending you Rs 10,000 for the item. I have sent a payment request to your UPI ID, just enter your PIN to confirm receipt.",1,upi_scam,"grounded in real collect-request scam script - cysafe.io"
"This is customer care. Your refund of Rs 2,500 has been processed. Scan this QR code to receive the amount, no need to enter any amount.",1,upi_scam,"grounded in real refund-QR scam script - cysafe.io"
"Your UPI ID linked to Aadhaar has been suspended. Update your KYC immediately using this link to continue using UPI services.",1,upi_scam,"documented pattern - scancheck.tech"
"This is your bank's technical team. We need to verify your account, please download this screen sharing app so we can assist you.",1,upi_scam,"grounded in real remote-access UPI fraud script - cysafe.io"
"Special Discount QR - scan here to get 5% off your purchase and cashback credited instantly to your UPI account.",1,upi_scam,"grounded in real QR-code-swap fraud reported at petrol pumps and shops - safebrowz.com"
"Hello, I am HR Manager at Amazon India. We have a Work From Home vacancy, salary Rs 45,000 per month, registration fee Rs 999 only. Reply YES.",1,job_scam,"documented real scam message - scamcheck.tech"
"Congratulations! Your profile has been shortlisted for a Data Entry position, package Rs 35,000 per month. Pay Rs 500 registration to confirm your seat.",1,job_scam,"documented real scam message format - scamcheck.tech"
"Good morning! I am HR from Amazon India. Part-time openings for product reviewers, salary Rs 800 to 1500 per hour. WhatsApp your resume to join, limited seats.",1,job_scam,"documented real WhatsApp scam message - realcheck.in"
"Congratulations! You have been selected for a work-from-home data entry job. Earn up to Rs 30,000 a month. Registration free today only. Call now.",1,job_scam,"documented real SMS scam message - realcheck.in"
"We hire part-timers to boost product ratings for top brands. Buy credits to start earning today, high daily payout guaranteed.",1,job_scam,"grounded in real LinkedIn/social media job scam pattern - aseemjuneja.in"
"Follow the link and pay the pending customs fee of Rs 99 to complete your parcel delivery today.",1,fake_delivery,"documented real courier scam message - tradebrains.in"
"Due to incomplete Aadhaar verification, your SIM card will be blocked in 2 hours. Update now to prevent service disruption.",1,fake_delivery,"documented real telecom-impersonation scam message - tradebrains.in"
"Your credit card reward points worth Rs 8,750 will expire today. Redeem them now before it's too late by clicking this link.",1,fake_reward,"documented real reward-expiry scam message - tradebrains.in"
"Your electricity connection will be disconnected within 2 hours due to unpaid bill. Pay immediately through this link to avoid disconnection.",1,fake_delivery,"grounded in widely reported DISCOM impersonation scam pattern"
"Dear Customer, your monthly e-statement is now available. Login to the official app to view your account summary.",0,safe_everyday,"contrast example - standard legitimate bank notification format"
"Your fixed deposit maturity amount has been credited to your linked account. Check your passbook or the official app for details.",0,safe_everyday,"contrast example - standard legitimate bank notification"
"Your debit card transaction of Rs 1,200 was successful at a merchant location. If this wasn't you, call the number on the back of your card.",0,safe_everyday,"contrast example - standard legitimate transaction alert"
"Your KYC appointment at the branch is confirmed for tomorrow at 11 AM. Please carry your original ID proof.",0,safe_everyday,"contrast example - legitimate branch-scheduled appointment, no link or urgency"
"Your Amazon order has been shipped and will arrive in 2-3 business days. Track it from the official app.",0,safe_everyday,"contrast example - standard legitimate delivery notification"
"Your OTP for signing in is 483921. Do not share this code with anyone, including bank staff.",0,safe_everyday,"contrast example - legitimate OTP message includes an explicit non-sharing warning"
"Your password was changed successfully. If this wasn't you, please contact support immediately through the official app.",0,safe_everyday,"contrast example - standard legitimate security notification"
